통계표ID,통계표명,지역,cleaning1,cleaning2,연령대,cleaning3,cleaning4,구분,대상
DT_1WCC46,공중질서수준(공공장소 정숙) - 15세이상 인구,,공중질서수준(공공장소 정숙) - 15세이상 인구,공중질서수준(공공장소 정숙) - 15세이상 인구,15세이상,공중질서수준(공공장소 정숙) -  인구,공중질서수준(공공장소 정숙) -  인구,인구별,인구
DT_1WCC5,범죄피해에 대한 두려움 - 15세이상 인구,,범죄피해에 대한 두려움 - 15세이상 인구,범죄피해에 대한 두려움 - 15세이상 인구,15세이상,범죄피해에 대한 두려움 -  인구,범죄피해에 대한 두려움 -  인구,인구별,인구
DT_1WCC61,야간보행에 대한 안전도 - 15세이상 인구,,야간보행에 대한 안전도 - 15세이상 인구,야간보행에 대한 안전도 - 15세이상 인구,15세이상,야간보행에 대한 안전도 -  인구,야간보행에 대한 안전도 -  인구,인구별,인구
DT_1WCC62,야간보행에 대한 대처방법 - 15세이상 인구,,야간보행에 대한 대처방법 - 15세이상 인구,야간보행에 대한 대처방법 - 15세이상 인구,15세이상,야간보행에 대한 대처방법 -  인구,야간보행에 대한 대처방법 -  인구,인구별,인구
DT_1WCC71,"사회안전에 대한 인식도(태풍,지진 등 자연재해) - 15세이상 인구",,"사회안전에 대한 인식도(태풍,지진 등 자연재해) - 15세이상 인구","사회안전에 대한 인식도(태풍,지진 등 자연재해) - 15세이상 인구",15세이상,"사회안전에 대한 인식도(태풍,지진 등 자연재해) -  인구","사회안전에 대한 인식도(태풍,지진 등 자연재해) -  인구","자연재해별, 인구별",인구
DT_1WCC72,사회안전에 대한 인식도(건축물 및 시설물) - 15세이상 인구,,사회안전에 대한 인식도(건축물 및 시설물) - 15세이상 인구,사회안전에 대한 인식도(건축물 및 시설물) - 15세이상 인구,15세이상,사회안전에 대한 인식도(건축물 및 시설물) -  인구,사회안전에 대한 인식도(건축물 및 시설물) -  인구,인구별,인구
DT_1WCC73,"사회안전에 대한 인식도(노약자,어린이가 자동차 위험없이 안전하게 보행)",,"사회안전에 대한 인식도(노약자,어린이가 자동차 위험없이 안전하게 보행)","사회안전에 대한 인식도(노약자,어린이가 자동차 위험없이 안전하게 보행)",,"사회안전에 대한 인식도(노약자,어린이가 자동차 위험없이 안전하게 보행)","사회안전에 대한 인식도(노약자,어린이가 자동차 위험없이 안전하게 보행)","노약자, 어린이 별",인식도
DT_1WCC74,"사회안전에 대한 인식도(식료품,약품 등 상품) - 15세이상 인구",,"사회안전에 대한 인식도(식료품,약품 등 상품) - 15세이상 인구","사회안전에 대한 인식도(식료품,약품 등 상품) - 15세이상 인구",15세이상,"사회안전에 대한 인식도(식료품,약품 등 상품) -  인구","사회안전에 대한 인식도(식료품,약품 등 상품) -  인구",인구별,인구
DT_1WCC75,사회안전에 대한 인식도(해킹 등 정보보안) - 15세이상 인구,,사회안전에 대한 인식도(해킹 등 정보보안) - 15세이상 인구,사회안전에 대한 인식도(해킹 등 정보보안) - 15세이상 인구,15세이상,사회안전에 대한 인식도(해킹 등 정보보안) -  인구,사회안전에 대한 인식도(해킹 등 정보보안) -  인구,인구별,인구
DT_1WCC91,범죄피해가구 - 가구주,,범죄피해가구 - 가구주,범죄피해가구 - 가구주,,범죄피해가구 - 가구주,범죄피해가구 - 가구주,가구주별,"범죄피해가구, 가구주"
DT_1WCC92,범죄피해건수 - 가구주,,범죄피해건수 - 가구주,범죄피해건수 - 가구주,,범죄피해건수 - 가구주,범죄피해건수 - 가구주,가구주별,"범죄피해건수, 가구주"
DT_1WCC93,재산피해 가구 및 건수 - 가구주,,재산피해 가구 및 건수 - 가구주,재산피해 가구 및 건수 - 가구주,,재산피해 가구 및 건수 - 가구주,재산피해 가구 및 건수 - 가구주,"가구주 나이별, 가구주 성별","재산피해 가구, 재산피해 건수"
DT_1WCC94,미신고비율 - 가구주,,미신고비율 - 가구주,미신고비율 - 가구주,,미신고비율 - 가구주,미신고비율 - 가구주,가구주별,가구주
DT_1WCC941,"미신고이유(절도, 주된응답) - 가구주",,"미신고이유(절도, 주된응답) - 가구주","미신고이유(절도, 주된응답) - 가구주",,"미신고이유(절도, 주된응답) - 가구주","미신고이유(절도, ) - 가구주",기준없음,가구주
DT_1WCC942,"미신고이유(절도, 복수응답) - 가구주",,"미신고이유(절도, 복수응답) - 가구주","미신고이유(절도, 복수응답) - 가구주",,"미신고이유(절도, 복수응답) - 가구주","미신고이유(절도, ) - 가구주",가구주별,가구주
DT_1WCC943,"미신고이유(사기, 주된응답) - 가구주",,"미신고이유(사기, 주된응답) - 가구주","미신고이유(사기, 주된응답) - 가구주",,"미신고이유(사기, 주된응답) - 가구주","미신고이유(사기, ) - 가구주",사기별,가구주
DT_1WCC944,"미신고이유(사기, 복수응답) - 가구주",,"미신고이유(사기, 복수응답) - 가구주","미신고이유(사기, 복수응답) - 가구주",,"미신고이유(사기, 복수응답) - 가구주","미신고이유(사기, ) - 가구주",미신고 이유 별,가구주
DT_1WCC945,"미신고이유(강도, 주된응답) - 가구주",,"미신고이유(강도, 주된응답) - 가구주","미신고이유(강도, 주된응답) - 가구주",,"미신고이유(강도, 주된응답) - 가구주","미신고이유(강도, ) - 가구주",강도별,가구주
DT_1WCC946,"미신고이유(강도, 복수응답) - 가구주",,"미신고이유(강도, 복수응답) - 가구주","미신고이유(강도, 복수응답) - 가구주",,"미신고이유(강도, 복수응답) - 가구주","미신고이유(강도, ) - 가구주",강도별,가구주
DT_1WCC947,"미신고이유(폭행·상해, 주된응답) - 가구주",,"미신고이유(폭행·상해, 주된응답) - 가구주","미신고이유(폭행·상해, 주된응답) - 가구주",,"미신고이유(폭행·상해, 주된응답) - 가구주","미신고이유(폭행·상해, ) - 가구주",가구주별,가구주
DT_1WCC948,"미신고이유(폭행·상해, 복수응답) - 가구주",,"미신고이유(폭행·상해, 복수응답) - 가구주","미신고이유(폭행·상해, 복수응답) - 가구주",,"미신고이유(폭행·상해, 복수응답) - 가구주","미신고이유(폭행·상해, ) - 가구주",가구주별,가구주
DT_1WD11,종교인구,,종교인구,종교인구,,종교인구,종교인구,성별,종교인구
DT_1WD12,종교활동 참여횟수,,종교활동 참여횟수,종교활동 참여횟수,,종교활동 참여횟수,종교활동 참여횟수,종교활동 참여횟수별,종교활동 참여횟수
DT_1WD21,사회단체참여도-가장 적극적인 활동분야,,사회단체참여도-가장 적극적인 활동분야,사회단체참여도-가장 적극적인 활동분야,,사회단체참여도-가장 적극적인 활동분야,사회단체참여도-가장 적극적인 활동분야,활동분야별,사회단체 참여도
DT_1WD22,사회단체참여도-해당되는 곳 모두,,사회단체참여도-해당되는 곳 모두,사회단체참여도-해당되는 곳 모두,,사회단체참여도-해당되는 곳 모두,사회단체참여도-해당되는 곳 모두,기준없음,사회단체
DT_1WD31,자원봉사활동 현황,,자원봉사활동 현황,자원봉사활동 현황,,자원봉사활동 현황,자원봉사활동 현황,"성별, 연령별, 지역별, 활동영역별, 활동주기별, 평균활동시간별, 연간평균활동횟수별","자원봉사자, 기관"
DT_1WD32,자원봉사 미참가자의 활동 경험유무 및 견해,,자원봉사 미참가자의 활동 경험유무 및 견해,자원봉사 미참가자의 활동 경험유무 및 견해,,자원봉사 미참가자의 활동 경험유무 및 견해,자원봉사 미참가자의 활동 경험유무 및 견해,활동 경험유무별,"활동 경험유무, 견해"
DT_1WD33,자원봉사활성화 대책,,자원봉사활성화 대책,자원봉사활성화 대책,,자원봉사활성화 대책,자원봉사활성화 대책,기준없음,자원봉사자
DT_1WD34,분야별 자원봉사활동-지역의 환경보전,,분야별 자원봉사활동-지역의 환경보전,분야별 자원봉사활동-지역의 환경보전,,분야별 자원봉사활동-지역의 환경보전,분야별 자원봉사활동-지역의 환경보전,분야별,"자원봉사활동, 환경보전"
DT_1WD35,분야별 자원봉사활동-국가 및 지역행사 관련,,분야별 자원봉사활동-국가 및 지역행사 관련,분야별 자원봉사활동-국가 및 지역행사 관련,,분야별 자원봉사활동-국가 및 지역행사 관련,분야별 자원봉사활동-국가 및 지역행사 관련,분야별,자원봉사활동
DT_1WD36,분야별 자원봉사활동-자녀교육 등과 관련,,분야별 자원봉사활동-자녀교육 등과 관련,분야별 자원봉사활동-자녀교육 등과 관련,,분야별 자원봉사활동-자녀교육 등과 관련,분야별 자원봉사활동-자녀교육 등과 관련,분야별,"자원봉사활동, 자녀교육"
DT_1WD37,분야별 자원봉사활동-복지시설 관련,,분야별 자원봉사활동-복지시설 관련,분야별 자원봉사활동-복지시설 관련,,분야별 자원봉사활동-복지시설 관련,분야별 자원봉사활동-복지시설 관련,분야별,"자원봉사활동, 복지시설"
DT_1WD38,분야별 자원봉사활동-재해지역 주민돕기 등,,분야별 자원봉사활동-재해지역 주민돕기 등,분야별 자원봉사활동-재해지역 주민돕기 등,,분야별 자원봉사활동-재해지역 주민돕기 등,분야별 자원봉사활동-재해지역 주민돕기 등,분야별,자원봉사활동
DT_1WD39,분야별 자원봉사활동-기타,,분야별 자원봉사활동-기타,분야별 자원봉사활동-기타,,분야별 자원봉사활동-기타,분야별 자원봉사활동-기타,분야별,자원봉사활동
DT_1WD41,민원서비스 만족도,,민원서비스 만족도,민원서비스 만족도,,민원서비스 만족도,민원서비스 만족도,기준없음,민원서비스
DT_1WD42,민원서비스 불만이유-복수응답,,민원서비스 불만이유-복수응답,민원서비스 불만이유-복수응답,,민원서비스 불만이유-복수응답,민원서비스 불만이유-,기준없음,민원서비스
DT_1WD5,계층의식,,계층의식,계층의식,,계층의식,계층의식,계층별,계층
DT_1WD61,세대내 계층이동,,세대내 계층이동,세대내 계층이동,,세대내 계층이동,세대내 계층이동,계층별,세대내 계층이동
DT_1WD62,세대간 계층이동,,세대간 계층이동,세대간 계층이동,,세대간 계층이동,세대간 계층이동,계층별,세대
DT_1WD71,사회문제에 대한 견해-빈부격차가 줄어들고 있다,,사회문제에 대한 견해-빈부격차가 줄어들고 있다,사회문제에 대한 견해-빈부격차가 줄어들고 있다,,사회문제에 대한 견해-빈부격차가 줄어들고 있다,사회문제에 대한 견해-빈부격차가 줄어들고 있다,기준없음,빈부격차
DT_1WD72,사회문제에 대한 견해-지역감정이 해소되고 있다,,사회문제에 대한 견해-지역감정이 해소되고 있다,사회문제에 대한 견해-지역감정이 해소되고 있다,,사회문제에 대한 견해-지역감정이 해소되고 있다,사회문제에 대한 견해-지역감정이 해소되고 있다,기준없음,지역감정
DT_1WD73,사회문제에 대한 견해-범죄발생이 줄어들고 있다,,사회문제에 대한 견해-범죄발생이 줄어들고 있다,사회문제에 대한 견해-범죄발생이 줄어들고 있다,,사회문제에 대한 견해-범죄발생이 줄어들고 있다,사회문제에 대한 견해-범죄발생이 줄어들고 있다,기준없음,범죄발생
DT_1WD74,사회문제에 대한 견해-부정부패가 줄어들고 있다,,사회문제에 대한 견해-부정부패가 줄어들고 있다,사회문제에 대한 견해-부정부패가 줄어들고 있다,,사회문제에 대한 견해-부정부패가 줄어들고 있다,사회문제에 대한 견해-부정부패가 줄어들고 있다,기준없음,부정부패
DT_1WD75,사회문제에 대한 견해-윤리도덕성이 좋아지고 있다,,사회문제에 대한 견해-윤리도덕성이 좋아지고 있다,사회문제에 대한 견해-윤리도덕성이 좋아지고 있다,,사회문제에 대한 견해-윤리도덕성이 좋아지고 있다,사회문제에 대한 견해-윤리도덕성이 좋아지고 있다,기준없음,"견해, 윤리도덕성"
DT_1WD76,사회문제에 대한 견해-환경오염이 줄어들고 있다,,사회문제에 대한 견해-환경오염이 줄어들고 있다,사회문제에 대한 견해-환경오염이 줄어들고 있다,,사회문제에 대한 견해-환경오염이 줄어들고 있다,사회문제에 대한 견해-환경오염이 줄어들고 있다,기준없음,환경오염
DT_1WD77,사회문제에 대한 견해-청소년문제가 나아지고 있다,,사회문제에 대한 견해-청소년문제가 나아지고 있다,사회문제에 대한 견해-청소년문제가 나아지고 있다,,사회문제에 대한 견해-청소년문제가 나아지고 있다,사회문제에 대한 견해-청소년문제가 나아지고 있다,기준없음,청소년문제
DT_1WDA011,종교활동 참여인구,,종교활동 참여인구,종교활동 참여인구,,종교활동 참여인구,종교활동 참여인구,종교별,종교활동 참여인구
DT_1WDA012,종교활동 참여횟수,,종교활동 참여횟수,종교활동 참여횟수,,종교활동 참여횟수,종교활동 참여횟수,기준없음,종교활동 참여횟수
DT_1WDA021,단체참여-주된응답,,단체참여-주된응답,단체참여-주된응답,,단체참여-주된응답,단체참여-,기준없음,단체
DT_1WDA022,단체참여-복수응답,,단체참여-복수응답,단체참여-복수응답,,단체참여-복수응답,단체참여-,기준없음,단체
DT_1WDA031,자원봉사활동,,자원봉사활동,자원봉사활동,,자원봉사활동,자원봉사활동,"연령별, 성별, 지역별, 분야별",자원봉사자
DT_1WDA032,향후 자원봉사활동 참가여부,,향후 자원봉사활동 참가여부,향후 자원봉사활동 참가여부,,향후 자원봉사활동 참가여부,향후 자원봉사활동 참가여부,기준없음,자원봉사활동
DT_1WDA033,"분야별 자원봉사활동-환경보전,범죄예방 등과 관련",,"분야별 자원봉사활동-환경보전,범죄예방 등과 관련","분야별 자원봉사활동-환경보전,범죄예방 등과 관련",,"분야별 자원봉사활동-환경보전,범죄예방 등과 관련","분야별 자원봉사활동-환경보전,범죄예방 등과 관련",분야별,자원봉사활동
DT_1WDA034,분야별 자원봉사활동-국가 및 지역행사 등과 관련,,분야별 자원봉사활동-국가 및 지역행사 등과 관련,분야별 자원봉사활동-국가 및 지역행사 등과 관련,,분야별 자원봉사활동-국가 및 지역행사 등과 관련,분야별 자원봉사활동-국가 및 지역행사 등과 관련,분야별,자원봉사활동
DT_1WDA035,분야별 자원봉사활동-자녀교육 등과 관련,,분야별 자원봉사활동-자녀교육 등과 관련,분야별 자원봉사활동-자녀교육 등과 관련,,분야별 자원봉사활동-자녀교육 등과 관련,분야별 자원봉사활동-자녀교육 등과 관련,분야별,"자원봉사활동, 자녀교육"
DT_1WDA036,"분야별 자원봉사활동-아동,청소년,노인,장애인,재소자 등과 관련",,"분야별 자원봉사활동-아동,청소년,노인,장애인,재소자 등과 관련","분야별 자원봉사활동-아동,청소년,노인,장애인,재소자 등과 관련",,"분야별 자원봉사활동-아동,청소년,노인,장애인,재소자 등과 관련","분야별 자원봉사활동-아동,청소년,노인,장애인,재소자 등과 관련",대상별,자원봉사활동
DT_1WDA037,분야별 자원봉사활동-재해지역 주민돕기 및 시설복구 등과 관련,,분야별 자원봉사활동-재해지역 주민돕기 및 시설복구 등과 관련,분야별 자원봉사활동-재해지역 주민돕기 및 시설복구 등과 관련,,분야별 자원봉사활동-재해지역 주민돕기 및 시설복구 등과 관련,분야별 자원봉사활동-재해지역 주민돕기 및 시설복구 등과 관련,분야별,자원봉사활동
DT_1WDA038,분야별 자원봉사활동-기타 일반인을 위한 봉사 관련,,분야별 자원봉사활동-기타 일반인을 위한 봉사 관련,분야별 자원봉사활동-기타 일반인을 위한 봉사 관련,,분야별 자원봉사활동-기타 일반인을 위한 봉사 관련,분야별 자원봉사활동-기타 일반인을 위한 봉사 관련,분야별,자원봉사활동
DT_1WDA04,자원봉사 활성화 대책,,자원봉사 활성화 대책,자원봉사 활성화 대책,,자원봉사 활성화 대책,자원봉사 활성화 대책,기준없음,자원봉사자
DT_1WDA05,주관적 만족감,,주관적 만족감,주관적 만족감,,주관적 만족감,주관적 만족감,기준없음,주관적 만족감
DT_1WDA06,민원서비스 만족도,,민원서비스 만족도,민원서비스 만족도,,민원서비스 만족도,민원서비스 만족도,기준없음,민원서비스
DT_1WDA071,민원서비스 불만이유-주된응답,,민원서비스 불만이유-주된응답,민원서비스 불만이유-주된응답,,민원서비스 불만이유-주된응답,민원서비스 불만이유-,기준없음,민원서비스
DT_1WDA072,민원서비스 불만이유-복수응답,,민원서비스 불만이유-복수응답,민원서비스 불만이유-복수응답,,민원서비스 불만이유-복수응답,민원서비스 불만이유-,기준없음,민원서비스
DT_1WDA08,계층의식,,계층의식,계층의식,,계층의식,계층의식,계층별,계층
DT_1WDA091,세대내 계층이동,,세대내 계층이동,세대내 계층이동,,세대내 계층이동,세대내 계층이동,계층별,세대내 계층이동
DT_1WDA092,세대간 계층이동,,세대간 계층이동,세대간 계층이동,,세대간 계층이동,세대간 계층이동,계층별,"세대, 계층"
DT_1WDA101,사회문제에 관한 견해-빈부격차가 줄어들고 있다,,사회문제에 관한 견해-빈부격차가 줄어들고 있다,사회문제에 관한 견해-빈부격차가 줄어들고 있다,,사회문제에 관한 견해-빈부격차가 줄어들고 있다,사회문제에 관한 견해-빈부격차가 줄어들고 있다,기준없음,빈부격차
DT_1WDA102,사회문제에 관한 견해-범죄발생이 줄어들고 있다,,사회문제에 관한 견해-범죄발생이 줄어들고 있다,사회문제에 관한 견해-범죄발생이 줄어들고 있다,,사회문제에 관한 견해-범죄발생이 줄어들고 있다,사회문제에 관한 견해-범죄발생이 줄어들고 있다,기준없음,범죄 발생
DT_1WDA103,사회문제에 관한 견해-부정부패가 줄어들고 있다,,사회문제에 관한 견해-부정부패가 줄어들고 있다,사회문제에 관한 견해-부정부패가 줄어들고 있다,,사회문제에 관한 견해-부정부패가 줄어들고 있다,사회문제에 관한 견해-부정부패가 줄어들고 있다,기준없음,부정부패
DT_1WDA104,사회문제에 관한 견해-윤리·도덕성이 좋아지고 있다,,사회문제에 관한 견해-윤리·도덕성이 좋아지고 있다,사회문제에 관한 견해-윤리·도덕성이 좋아지고 있다,,사회문제에 관한 견해-윤리·도덕성이 좋아지고 있다,사회문제에 관한 견해-윤리·도덕성이 좋아지고 있다,기준없음,견해
DT_1WDA105,사회문제에 관한 견해-환경오염이 줄어들고 있다,,사회문제에 관한 견해-환경오염이 줄어들고 있다,사회문제에 관한 견해-환경오염이 줄어들고 있다,,사회문제에 관한 견해-환경오염이 줄어들고 있다,사회문제에 관한 견해-환경오염이 줄어들고 있다,기준없음,환경오염
DT_1WDC021,단체참여-주된응답,,단체참여-주된응답,단체참여-주된응답,,단체참여-주된응답,단체참여-,기준없음,단체
DT_1WDC022,단체참여-복수응답,,단체참여-복수응답,단체참여-복수응답,,단체참여-복수응답,단체참여-,기준없음,단체
DT_1WDC031,자원봉사활동(복수응답),,자원봉사활동(복수응답),자원봉사활동(복수응답),,자원봉사활동(복수응답),자원봉사활동,"연령별, 성별, 활동영역별, 지역별, 활동주기별, 참여형태별, 활동시간별, 교육수준별, 소득계층별, 자원봉사 동기 및 계기별, 자원봉사 만족도별, 자원봉사 지속 의향별, 자원봉사 경험 횟수별, 자원봉사 경험 기간별, 자원봉사 경험 분야별, 자원봉사 경험 기관유형별, 자원봉사 경험 시기별, 자원봉사 경험 직종별, 자원봉사 경험 연령별, 자원봉사 경험 성별, 자원봉사 경험 지역별, 자원봉사 경험 주기별, 자원봉사 경험 형태별, 자원봉사 경험 시간별, 자원봉사 경험 교육수준별, 자원봉사 경험 소득계층별, 자원봉사 경험 동기 및 계기별, 자원봉사 경험 만족도별, 자원봉사 경험 지속 의향별, 자원봉사 참여 동아리별, 자원봉사 참여 단체별, 자원봉사 참여 조직별, 자원봉사 참여 경로별, 자원봉사 참여 방법별, 자원봉사 참여 동기별, 자원봉사 참여 계기별, 자원봉사 참여 이유별, 자원봉사 참여 목적별, 자원봉사 참여 효과별, 자원봉사 참여 인식별, 자원봉사 참여 태도별, 자원봉사 참여 만족도별, 자원봉사 참여 지속성별, 자원봉사 참여 영향 요인별, 자원봉사 참여 저해 요인별, 자원봉사 참여 지원 정책별, 자원봉사 참여 활성화 방안별, 자원봉사 참여 개선점별, 자원봉사 참여 전망별, 자원봉사 참여 현황별, 자원봉사 참여 문제점별, 자원봉사 참여 기회별, 자원봉사 참여 필요성별, 자원봉사 참여 중요성별, 자원봉사 참여 가치별, 자원봉사 참여 의미별, 자원봉사 참여 인식 변화별, 자원봉사 참여 문화별, 자원봉사 참여 사회문제 해결 기여도별, 자원봉사 참여 삶의 질 향상 기여도별, 자원봉사 참여 사회적 자본 형성 기여도별, 자원봉사 참여 지역사회 발전 기여도별, 자원봉사 참여 국가 경쟁력 강화 기여도별, 자원봉사 참여 국제 협력 기여도별, 자원봉사 참여 환경 보호 기여도별, 자원봉사 참여 인권 증진 기여도별, 자원봉사 참여 평화 구축 기여도별, 자원봉사 참여 세계평화 기여도별, 자원봉사 참여 인류 복지 기여도별, 자원봉사 참여 인간존엄성 실현 기여도별, 자원봉사 참여 민주주의 실현 기여도별, 자원봉사 참여 자유와 평등 실현 기여도별, 자원봉사 참여 공정과 정의 실현 기여도별, 자원봉사 참여 연대감 형성 기여도별, 자원봉사 참여 공동체 의식 함양 기여도별, 자원봉사 참여 상호 신뢰 형성 기여도별, 자원봉사 참여 사회적 지지망 형성 기여도별, 자원봉사 참여 자아실현 기여도별, 자원봉사 참여 자기개발 기여도별, 자원봉사 참여 사회적 책임감 형성 기여도",자원봉사자
DT_1WDC032,향후 자원봉사활동 참가여부,,향후 자원봉사활동 참가여부,향후 자원봉사활동 참가여부,,향후 자원봉사활동 참가여부,향후 자원봉사활동 참가여부,기준없음,자원봉사활동
DT_1WDC033,"분야별 자원봉사활동(환경보전, 범죄예방 등)",,"분야별 자원봉사활동(환경보전, 범죄예방 등)","분야별 자원봉사활동(환경보전, 범죄예방 등)",,"분야별 자원봉사활동(환경보전, 범죄예방 등)","분야별 자원봉사활동(환경보전, 범죄예방 등)",분야별,자원봉사활동
DT_1WDC034,분야별 자원봉사활동(국가 및 지역행사 등과 관련),,분야별 자원봉사활동(국가 및 지역행사 등과 관련),분야별 자원봉사활동(국가 및 지역행사 등과 관련),,분야별 자원봉사활동(국가 및 지역행사 등과 관련),분야별 자원봉사활동(국가 및 지역행사 등과 관련),분야별,자원봉사활동
DT_1WDC035,분야별 자원봉사활동(자녀교육 등과 관련),,분야별 자원봉사활동(자녀교육 등과 관련),분야별 자원봉사활동(자녀교육 등과 관련),,분야별 자원봉사활동(자녀교육 등과 관련),분야별 자원봉사활동(자녀교육 등과 관련),분야별,자원봉사활동
DT_1WDC036,"분야별 자원봉사활동(아동,청소년, 노인, 장애인, 재소자 등과 관련)",,"분야별 자원봉사활동(아동,청소년, 노인, 장애인, 재소자 등과 관련)","분야별 자원봉사활동(아동,청소년, 노인, 장애인, 재소자 등과 관련)",,"분야별 자원봉사활동(아동,청소년, 노인, 장애인, 재소자 등과 관련)","분야별 자원봉사활동(아동,청소년, 노인, 장애인, 재소자 등과 관련)","대상별: 아동, 청소년, 노인, 장애인, 재소자 등",자원봉사활동
DT_1WDC037,분야별 자원봉사활동(재해지역 주민돕기 및 시설복구 등과 관련),,분야별 자원봉사활동(재해지역 주민돕기 및 시설복구 등과 관련),분야별 자원봉사활동(재해지역 주민돕기 및 시설복구 등과 관련),,분야별 자원봉사활동(재해지역 주민돕기 및 시설복구 등과 관련),분야별 자원봉사활동(재해지역 주민돕기 및 시설복구 등과 관련),분야별,자원봉사활동
DT_1WDC038,분야별 자원봉사활동(기타 일빈인을 위한 봉사관련),,분야별 자원봉사활동(기타 일빈인을 위한 봉사관련),분야별 자원봉사활동(기타 일빈인을 위한 봉사관련),,분야별 자원봉사활동(기타 일빈인을 위한 봉사관련),분야별 자원봉사활동(기타 일빈인을 위한 봉사관련),분야별,자원봉사활동
DT_1WDC039,후원(기부)인구,,후원(기부)인구,후원(기부)인구,,후원(기부)인구,후원(기부)인구,기준없음,후원(기부)인구
DT_1WDC03A,후원방법별 후원횟수,,후원방법별 후원횟수,후원방법별 후원횟수,,후원방법별 후원횟수,후원방법별 후원횟수,후원방법별,후원횟수
DT_1WDC05,주관적 만족감,,주관적 만족감,주관적 만족감,,주관적 만족감,주관적 만족감,기준없음,주관적 만족감
DT_1WDC06,민원서비스 만족도,,민원서비스 만족도,민원서비스 만족도,,민원서비스 만족도,민원서비스 만족도,기준없음,민원서비스
DT_1WDC071,민원서비스 불만이유-주된응답,,민원서비스 불만이유-주된응답,민원서비스 불만이유-주된응답,,민원서비스 불만이유-주된응답,민원서비스 불만이유-,기준없음,민원서비스
DT_1WDC072,민원서비스 불만이유-복수응답,,민원서비스 불만이유-복수응답,민원서비스 불만이유-복수응답,,민원서비스 불만이유-복수응답,민원서비스 불만이유-,기준없음,민원서비스
DT_1WDC081,계층의식(가구주),,계층의식(가구주),계층의식(가구주),,계층의식(가구주),계층의식(가구주),계층별,가구주
DT_1WDC082,계층의식(15세이상 인구),,계층의식(15세이상 인구),계층의식(15세이상 인구),15세이상,계층의식( 인구),계층의식( 인구),계층별,인구
DT_1WDC091,본인세대 계층이동(가구주),,본인세대 계층이동(가구주),본인세대 계층이동(가구주),,본인세대 계층이동(가구주),본인세대 계층이동(가구주),계층이동에 따른 본인세대 가구주별,가구주
DT_1WDC092,본인세대 계층이동(15세이상 인구),,본인세대 계층이동(15세이상 인구),본인세대 계층이동(15세이상 인구),15세이상,본인세대 계층이동( 인구),본인세대 계층이동( 인구),계층이동별,"계층이동, 인구"
DT_1WDC093,다음세대 계층이동(가구주),,다음세대 계층이동(가구주),다음세대 계층이동(가구주),,다음세대 계층이동(가구주),다음세대 계층이동(가구주),계층이동 별,가구주
DT_1WDC094,다음세대 계층이동(15세이상 인구),,다음세대 계층이동(15세이상 인구),다음세대 계층이동(15세이상 인구),15세이상,다음세대 계층이동( 인구),다음세대 계층이동( 인구),계층별,인구
INH_1SSCL030R,문화예술 및 스포츠관람현황(시도),,문화예술 및 스포츠관람현황(시도),문화예술 및 스포츠관람현황(시도),,문화예술 및 스포츠관람현황(시도),문화예술 및 스포츠관람현황(시도),행정구역별,문화예술 및 스포츠 관람 현황
INH_1SSCL050R,국내관광여행횟수(시도),,국내관광여행횟수(시도),국내관광여행횟수(시도),,국내관광여행횟수(시도),국내관광여행횟수(시도),행정구역별,국내관광여행횟수
INH_1SSCL060R,해외여행경험및횟수(시도),,해외여행경험및횟수(시도),해외여행경험및횟수(시도),,해외여행경험및횟수(시도),해외여행경험및횟수(시도),행정구역별,해외여행 경험 및 횟수
INH_1SSCL091R,여가활용 만족도(시도),,여가활용 만족도(시도),여가활용 만족도(시도),,여가활용 만족도(시도),여가활용 만족도(시도),행정구역별,여가활용 만족도
INH_1SSCL093R,여가활용 불만족 이유(시도),,여가활용 불만족 이유(시도),여가활용 불만족 이유(시도),,여가활용 불만족 이유(시도),여가활용 불만족 이유(시도),행정구역별,여가활용 불만족 이유
INH_1SSED019R,학생의 학교생활만족도(시도),,학생의 학교생활만족도(시도),학생의 학교생활만족도(시도),,학생의 학교생활만족도(시도),학생의 학교생활만족도(시도),행정구역별,"학생, 학교생활만족도"
INH_1SSED064R,학교교육의 효과(시도),,학교교육의 효과(시도),학교교육의 효과(시도),,학교교육의 효과(시도),학교교육의 효과(시도),행정구역별,학생
INH_1SSEN015R,녹지환경 만족도(시도),,녹지환경 만족도(시도),녹지환경 만족도(시도),,녹지환경 만족도(시도),녹지환경 만족도(시도),행정구역별,녹지환경 만족도
INH_1SSEN053R,미세먼지 인식도(시도),,미세먼지 인식도(시도),미세먼지 인식도(시도),,미세먼지 인식도(시도),미세먼지 인식도(시도),행정구역별,미세먼지 인식도
INH_1SSFA021R,부모 생활비 마련 방법(시도),,부모 생활비 마련 방법(시도),부모 생활비 마련 방법(시도),,부모 생활비 마련 방법(시도),부모 생활비 마련 방법(시도),행정구역별,생활비
INH_1SSFA139R,가족관계 만족도(시도),,가족관계 만족도(시도),가족관계 만족도(시도),,가족관계 만족도(시도),가족관계 만족도(시도),행정구역별,"가족관계, 시도"
INH_1SSHE109R,의료서비스 만족도(시도),,의료서비스 만족도(시도),의료서비스 만족도(시도),,의료서비스 만족도(시도),의료서비스 만족도(시도),행정구역별,"의료서비스, 시도"
INH_1SSIC010R,주관적소득수준(시도),,주관적소득수준(시도),주관적소득수준(시도),,주관적소득수준(시도),주관적소득수준(시도),행정구역별,소득수준
